price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,neworold,parking,Furnished_status,Lift,price_per_unit_area,Status_Ready to Move,Status_Under Construction,type_of_building_Flat,type_of_building_Individual House
28000000.0,1200.0,19.03731,72.87871,2,2,2,1,2,1,2,23333.333333333332,True,False,True,False
22500000.0,1250.0,19.133092,72.93475,3,3,1,1,1,1,1,18000.0,True,False,True,False
26500000.0,1050.0,19.073390300000003,72.8654319,2,2,0,1,0,0,0,25238.095238095237,True,False,True,False
18000000.0,998.0,19.122307,72.89599270000001,2,2,0,0,0,0,0,18036.072144288577,True,False,True,False
31000000.0,1156.0,19.0937492,72.922604,2,2,2,0,2,0,2,26816.60899653979,True,False,True,False
20500000.0,1350.0,19.10919095,72.88469140000001,2,2,0,0,0,0,0,15185.185185185184,True,False,True,False
50000000.0,1400.0,19.0038320445835,72.8505157603601,3,3,3,0,3,0,3,35714.28571428572,True,False,True,False
33000000.0,1000.0,19.13832,72.81002,2,2,0,0,0,0,0,33000.0,True,False,True,False
13700000.000000002,960.0,19.167625,72.842016,2,2,0,1,0,0,0,14270.833333333336,True,False,True,False
17500000.0,900.0,19.211561,72.87060799999999,2,2,0,0,0,0,0,19444.444444444445,True,False,True,False
47000000.0,1900.0,19.0051754,72.8498377,3,3,0,1,0,1,0,24736.842105263157,True,False,True,False
16000000.0,1100.0,19.1981206009705,72.8781756998955,3,3,0,1,0,0,0,14545.454545454546,True,False,False,True
21000000.0,1307.0,19.183819,72.86111600000001,2,2,2,0,2,0,2,16067.329762815609,True,False,True,False
26500000.0,1100.0,19.043911,72.89877800000001,2,2,0,0,0,1,0,24090.909090909092,True,False,True,False
35000000.0,1200.0,19.08147,72.86251,3,3,2,1,2,1,2,29166.666666666668,True,False,True,False
28500000.0,1680.0,19.183819,72.86111600000001,3,3,4,0,4,0,4,16964.285714285714,True,False,True,False
25000000.0,1300.0,19.191119,72.83116,3,3,0,1,0,0,0,19230.76923076923,True,False,True,False
22000000.0,1050.0,19.11559447,72.90996700000001,2,2,0,0,0,0,0,20952.380952380954,True,False,True,False
26500000.0,1360.0,19.1066926049648,72.898956721924,3,2,1,0,1,0,1,19485.29411764706,True,False,True,False
22500000.0,850.0,19.1297768,72.8330161,2,2,0,0,0,0,0,26470.58823529412,True,False,True,False
29000000.0,1430.0,19.12238883972168,72.86602783203125,3,3,1,0,1,0,1,20279.72027972028,True,False,True,False
13799999.999999998,850.0,19.207601,72.879171,2,2,0,1,0,1,0,16235.294117647056,True,False,True,False
52500000.0,1500.0,19.100385665893555,72.8504638671875,3,3,0,1,0,1,0,35000.0,True,False,True,False
25500000.0,1313.0,19.107616424560547,72.89891815185547,3,2,1,0,1,0,1,19421.17288651942,True,False,True,False
38000000.0,1157.0,19.006180342037,72.8286779623475,2,2,0,0,0,0,0,32843.56093344857,True,False,True,False
48500000.0,1100.0,19.06680489,72.85129455,3,3,0,1,0,0,0,44090.90909090909,True,False,True,False
29000000.0,1550.0,19.046411,72.91576500000001,3,3,0,0,0,0,0,18709.677419354837,True,False,True,False
18000000.0,980.0,19.075029373168945,72.90982055664062,2,2,0,0,0,0,0,18367.34693877551,True,False,True,False
21000000.0,1100.0,19.155994,72.847275,3,3,1,1,1,0,1,19090.909090909092,True,False,True,False
18500000.0,955.0,19.02935005594641,72.88030444699154,2,2,1,0,1,0,1,19371.7277486911,True,False,True,False
47000000.0,1100.0,18.914451599121097,72.82052612304688,2,2,1,0,1,0,1,42727.27272727273,True,False,True,False
17500000.0,915.0,19.217309263073,72.8705672146112,2,2,2,0,2,0,2,19125.683060109288,True,False,True,False
14300000.0,875.0,19.166696,72.937422,2,2,0,0,0,0,0,16342.857142857143,True,False,True,False
16900000.0,880.0,19.20393269,72.82766012,2,3,0,0,0,0,0,19204.545454545456,True,False,True,False
17500000.0,1200.0,19.158664,72.94725240000001,2,2,3,0,3,0,3,14583.333333333334,True,False,True,False
24200000.0,1435.0,19.03731,72.87871,2,2,3,0,3,1,3,16864.11149825784,True,False,True,False
35000000.0,1650.0,19.169705,72.853001,3,3,0,0,0,0,0,21212.121212121212,True,False,True,False
18500000.0,1046.0,19.0799983,72.8545019,2,2,0,0,0,0,0,17686.42447418738,True,False,True,False
